Co, V, Zr, is_glass
34.091,17.252,48.657,1.000
34.618,16.295,49.087,0.500
35.128,15.391,49.482,0.500
35.619,14.540,49.842,0.500
24.103,41.936,33.961,1.000
25.004,40.016,34.981,1.000
25.894,38.136,35.970,1.000
26.770,36.307,36.923,1.000
27.632,34.526,37.841,1.000
28.476,32.804,38.720,1.000
29.301,31.139,39.560,1.000
30.108,29.531,40.361,1.000
30.892,27.988,41.120,1.000
31.657,26.505,41.838,1.000
32.398,25.087,42.515,1.000
33.117,23.733,43.151,1.000
33.814,22.440,43.747,1.000
34.487,21.211,44.302,1.000
35.140,20.042,44.819,1.000
35.769,18.935,45.296,1.000
36.376,17.887,45.737,1.000
36.964,16.894,46.142,1.000
37.531,15.957,46.512,1.000
38.079,15.072,46.849,1.000
38.608,14.239,47.153,1.000
26.178,41.122,32.700,1.000
27.146,39.215,33.639,1.000
28.103,37.351,34.546,1.000
29.043,35.540,35.417,1.000
29.967,33.779,36.253,1.000
30.871,32.079,37.050,1.000
31.754,30.437,37.809,1.000
32.616,28.854,38.529,1.000
33.455,27.336,39.209,1.000
34.271,25.879,39.851,1.000
35.061,24.488,40.451,1.000
35.827,23.160,41.013,1.000
36.570,21.893,41.537,1.000
37.288,20.691,42.022,1.000
37.982,19.547,42.470,1.000
38.652,18.466,42.882,1.000
39.299,17.442,43.259,1.000
39.925,16.472,43.603,1.000
40.528,15.558,43.914,1.000
41.112,14.695,44.193,1.000
41.675,13.882,44.442,1.000
28.374,40.200,31.426,1.000
29.409,38.309,32.282,1.000
30.430,36.463,33.107,1.000
31.432,34.673,33.895,1.000
32.416,32.936,34.648,1.000
33.377,31.260,35.363,1.000
34.315,29.645,36.040,1.000
35.230,28.090,36.680,1.000
36.119,26.600,37.281,1.000
36.983,25.172,37.845,1.000
37.819,23.810,38.371,1.000
38.629,22.512,38.859,1.000
39.414,21.275,39.312,1.000
40.171,20.101,39.728,1.000
40.904,18.986,40.110,1.000
41.611,17.932,40.457,1.000
42.293,16.935,40.772,1.000
42.953,15.991,41.056,1.000
43.589,15.102,41.309,1.000
44.205,14.262,41.533,1.000
44.799,13.472,41.728,1.000
30.686,39.175,30.139,1.000
31.785,37.302,30.913,1.000
32.868,35.478,31.654,1.000
33.929,33.712,32.359,1.000
34.969,32.001,33.030,1.000
35.984,30.354,33.663,1.000
36.972,28.768,34.260,1.000
37.936,27.243,34.821,1.000
38.870,25.785,35.344,1.000
39.778,24.389,35.833,1.000
40.655,23.060,36.285,1.000
41.504,21.794,36.701,1.000
42.326,20.589,37.085,1.000
43.118,19.447,37.434,1.000
43.885,18.363,37.752,1.000
44.623,17.339,38.038,1.000
45.336,16.371,38.293,1.000
46.025,15.456,38.519,1.000
46.689,14.594,38.717,1.000
47.332,13.780,38.888,1.000
47.952,13.015,39.033,1.000
33.109,38.050,28.841,1.000
34.268,36.199,29.533,1.000
35.408,34.400,30.192,1.000
36.524,32.662,30.815,1.000
37.616,30.981,31.404,1.000
38.679,29.364,31.957,1.000
39.713,27.812,32.475,1.000
40.719,26.322,32.959,1.000
41.694,24.898,33.408,1.000
42.639,23.538,33.823,1.000
43.552,22.244,34.204,1.000
44.434,21.014,34.552,1.000
45.286,19.844,34.870,1.000
46.108,18.736,35.156,1.000
46.901,17.686,35.412,1.000
47.666,16.695,35.639,1.000
48.403,15.759,35.839,1.000
49.115,14.874,36.011,1.000
49.802,14.041,36.157,1.000
50.466,13.255,36.279,1.000
51.107,12.517,36.376,1.000
36.847,35.007,28.146,1.000
38.039,33.237,28.724,1.000
39.203,31.530,29.267,1.000
40.341,29.882,29.777,1.000
41.446,28.301,30.253,1.000
42.520,26.785,30.695,1.000
43.563,25.333,31.104,1.000
44.571,23.948,31.481,1.000
45.547,22.626,31.827,1.000
46.488,21.371,32.141,1.000
47.396,20.179,32.425,1.000
48.273,19.047,32.680,1.000
49.116,17.977,32.907,1.000
49.930,16.963,33.106,1.000
50.713,16.007,33.279,1.000
51.469,15.105,33.426,1.000
52.198,14.253,33.550,1.000
52.900,13.451,33.649,1.000
53.580,12.695,33.725,1.000
40.749,31.996,27.255,1.000
41.955,30.324,27.720,1.000
43.131,28.714,28.155,1.000
44.272,27.172,28.556,1.000
45.377,25.697,28.926,1.000
46.449,24.286,29.265,1.000
47.483,22.943,29.574,1.000
48.482,21.663,29.855,1.000
49.444,20.450,30.106,1.000
50.370,19.300,30.330,1.000
51.263,18.208,30.528,1.000
52.122,17.178,30.700,1.000
52.949,16.203,30.848,1.000
53.744,15.284,30.972,1.000
54.510,14.418,31.072,1.000
55.250,13.600,31.150,1.000
55.961,12.831,31.207,1.000
44.763,29.055,26.182,1.000
45.969,27.487,26.544,1.000
47.136,25.988,26.875,1.000
48.265,24.557,27.178,1.000
49.358,23.191,27.452,1.000
50.409,21.893,27.698,1.000
51.423,20.659,27.918,1.000
52.397,19.491,28.112,1.000
53.334,18.384,28.282,1.000
54.236,17.336,28.428,1.000
55.101,16.348,28.551,1.000
55.934,15.414,28.652,1.000
56.734,14.535,28.731,1.000
57.503,13.706,28.791,1.000
58.245,12.925,28.830,1.000
48.836,26.211,24.953,1.000
50.021,24.760,25.219,1.000
51.165,23.377,25.458,1.000
52.269,22.059,25.672,1.000
53.329,20.810,25.861,1.000
54.349,19.624,26.027,1.000
55.328,18.503,26.169,1.000
56.266,17.444,26.290,1.000
57.169,16.442,26.390,1.000
58.033,15.498,26.470,1.000
58.863,14.607,26.530,1.000
59.660,13.769,26.572,1.000
60.425,12.980,26.595,1.000
54.056,22.168,23.777,1.000
55.162,20.902,23.937,1.000
56.222,19.704,24.074,1.000
57.240,18.569,24.191,1.000
58.213,17.499,24.288,1.000
59.146,16.488,24.366,1.000
60.040,15.534,24.426,1.000
60.895,14.637,24.469,1.000
61.715,13.790,24.494,1.000
7.460,75.300,17.300,0.500
7.500,74.000,18.500,0.500
7.530,72.700,19.800,0.500
7.550,71.300,21.100,0.500
7.550,69.900,22.600,0.500
7.560,68.400,24.000,1.000
7.550,66.800,25.600,1.000
7.530,65.200,27.200,1.000
7.500,63.600,28.900,1.000
8.260,76.500,15.200,0.500
8.310,75.400,16.300,0.500
8.360,74.200,17.500,0.500
8.390,72.900,18.700,0.500
8.420,71.600,20.000,0.500
8.430,70.300,21.300,1.000
8.440,68.800,22.700,1.000
