composition gfa{AM,CR} processing{meltspin,sputtering}
Co63.300000V18.600000Zr18.100000 CR sputtering
Co62.900000V18.100000Zr19.000000 CR sputtering
Co62.400000V17.700000Zr19.900000 CR sputtering
Co61.800000V17.300000Zr20.900000 CR sputtering
Co61.200000V16.800000Zr21.900000 CR sputtering
Co60.600000V16.400000Zr23.000000 AM sputtering
Co59.900000V16.000000Zr24.100000 AM sputtering
Co59.200000V15.600000Zr25.300000 AM sputtering
Co58.400000V15.200000Zr26.500000 AM sputtering
Co57.500000V14.800000Zr27.700000 AM sputtering
Co56.600000V14.400000Zr29.000000 AM sputtering
Co55.700000V14.000000Zr30.400000 AM sputtering
Co54.700000V13.600000Zr31.800000 AM sputtering
Co68.200000V20.800000Zr11.000000 CR sputtering
Co68.100000V20.400000Zr11.500000 CR sputtering
Co68.000000V19.900000Zr12.100000 CR sputtering
Co67.900000V19.500000Zr12.600000 CR sputtering
Co67.700000V19.000000Zr13.200000 CR sputtering
Co67.500000V18.600000Zr13.900000 CR sputtering
Co67.200000V18.200000Zr14.500000 CR sputtering
Co66.900000V17.800000Zr15.300000 CR sputtering
Co66.600000V17.400000Zr16.000000 CR sputtering
Co66.200000V17.000000Zr16.800000 CR sputtering
Co65.800000V16.600000Zr17.600000 CR sputtering
Co65.300000V16.200000Zr18.500000 CR sputtering
Co64.800000V15.900000Zr19.400000 CR sputtering
Co64.200000V15.500000Zr20.300000 CR sputtering
Co63.600000V15.100000Zr21.300000 CR sputtering
Co62.900000V14.800000Zr22.400000 AM sputtering
Co62.100000V14.400000Zr23.400000 AM sputtering
Co61.400000V14.100000Zr24.600000 AM sputtering
Co60.500000V13.700000Zr25.800000 AM sputtering
Co59.600000V13.400000Zr27.000000 AM sputtering
Co58.700000V13.000000Zr28.300000 AM sputtering
Co70.900000V18.900000Zr10.200000 CR sputtering
Co70.900000V18.500000Zr10.600000 CR sputtering
Co70.800000V18.100000Zr11.100000 CR sputtering
Co70.600000V17.700000Zr11.700000 CR sputtering
Co70.500000V17.300000Zr12.200000 CR sputtering
Co70.300000V16.900000Zr12.800000 CR sputtering
Co70.000000V16.600000Zr13.400000 CR sputtering
Co69.700000V16.200000Zr14.100000 CR sputtering
Co69.400000V15.900000Zr14.700000 CR sputtering
Co69.000000V15.500000Zr15.500000 CR sputtering
Co68.600000V15.200000Zr16.200000 CR sputtering
Co68.100000V14.900000Zr17.000000 CR sputtering
Co67.600000V14.500000Zr17.900000 CR sputtering
Co67.000000V14.200000Zr18.700000 CR sputtering
Co66.400000V13.900000Zr19.700000 CR sputtering
Co65.800000V13.600000Zr20.600000 CR sputtering
Co65.000000V13.300000Zr21.700000 CR sputtering
Co64.300000V13.000000Zr22.700000 AM sputtering
Co63.500000V12.700000Zr23.800000 AM sputtering
Co62.600000V12.400000Zr25.000000 AM sputtering
Co61.700000V12.100000Zr26.200000 AM sputtering
Co73.500000V16.700000Zr9.800000 CR sputtering
Co73.400000V16.300000Zr10.200000 CR sputtering
Co73.300000V16.000000Zr10.700000 CR sputtering
Co73.100000V15.700000Zr11.200000 CR sputtering
Co72.900000V15.400000Zr11.800000 CR sputtering
Co72.600000V15.000000Zr12.300000 CR sputtering
Co72.400000V14.700000Zr12.900000 CR sputtering
Co72.000000V14.400000Zr13.500000 CR sputtering
Co71.700000V14.100000Zr14.200000 CR sputtering
Co71.300000V13.800000Zr14.900000 CR sputtering
Co70.800000V13.600000Zr15.600000 CR sputtering
Co70.300000V13.300000Zr16.400000 CR sputtering
Co69.800000V13.000000Zr17.200000 CR sputtering
Co69.200000V12.700000Zr18.100000 CR sputtering
Co68.500000V12.500000Zr19.000000 CR sputtering
Co67.900000V12.200000Zr19.900000 CR sputtering
Co67.100000V11.900000Zr20.900000 CR sputtering
Co66.300000V11.700000Zr22.000000 CR sputtering
Co65.500000V11.400000Zr23.100000 CR sputtering
Co75.900000V14.700000Zr9.380000 CR sputtering
Co75.700000V14.400000Zr9.820000 CR sputtering
Co75.600000V14.100000Zr10.300000 CR sputtering
Co75.400000V13.900000Zr10.800000 CR sputtering
Co75.100000V13.600000Zr11.300000 CR sputtering
Co74.900000V13.300000Zr11.800000 CR sputtering
Co74.500000V13.100000Zr12.400000 CR sputtering
