Co, Ti, Zr, is_glass
24.491,55.360,20.149,0.500
24.890,53.918,21.192,0.500
25.262,52.470,22.269,0.500
25.604,51.017,23.379,0.500
25.916,49.561,24.523,0.500
26.196,48.104,25.700,0.500
26.441,46.647,26.911,0.500
26.652,45.192,28.157,0.500
26.826,43.738,29.436,0.500
26.962,42.289,30.749,0.500
27.058,40.845,32.097,0.500
27.115,39.407,33.478,0.500
27.130,37.977,34.893,0.500
27.103,36.555,36.342,0.500
27.033,35.142,37.825,0.500
26.919,33.739,39.342,0.500
24.100,61.645,14.255,0.500
24.663,60.272,15.066,0.500
25.205,58.888,15.906,0.500
25.727,57.496,16.777,0.500
26.225,56.096,17.679,0.500
26.698,54.691,18.611,0.500
27.145,53.280,19.575,0.500
27.563,51.866,20.570,0.500
27.952,50.450,21.598,1.000
28.309,49.034,22.658,1.000
28.632,47.618,23.750,1.000
28.921,46.204,24.875,1.000
29.174,44.793,26.033,1.000
29.390,43.386,27.224,1.000
29.566,41.985,28.449,1.000
29.703,40.590,29.707,1.000
29.798,39.203,30.999,1.000
29.851,37.825,32.325,1.000
29.860,36.455,33.685,1.000
29.825,35.096,35.079,0.500
29.745,33.747,36.507,0.500
26.795,59.322,13.883,1.000
27.388,57.958,14.654,1.000
27.959,56.588,15.454,1.000
28.506,55.213,16.281,1.000
29.027,53.835,17.138,1.000
29.522,52.455,18.023,1.000
29.987,51.075,18.938,1.000
30.422,49.695,19.883,1.000
30.825,48.317,20.859,1.000
31.194,46.941,21.865,1.000
31.527,45.570,22.903,1.000
31.824,44.204,23.972,1.000
32.083,42.844,25.073,1.000
32.302,41.491,26.206,1.000
32.481,40.147,27.372,1.000
32.618,38.811,28.571,1.000
32.711,37.485,29.804,1.000
32.760,36.170,31.070,1.000
32.764,34.865,32.370,1.000
32.722,33.572,33.705,1.000
32.634,32.291,35.075,1.000
30.308,55.498,14.193,1.000
30.903,54.147,14.949,1.000
31.472,52.796,15.731,1.000
32.014,51.446,16.541,1.000
32.526,50.098,17.377,1.000
33.006,48.753,18.241,1.000
33.455,47.412,19.133,1.000
33.869,46.077,20.054,1.000
34.247,44.748,21.005,1.000
34.589,43.427,21.985,1.000
34.892,42.113,22.995,1.000
35.155,40.809,24.036,1.000
35.377,39.514,25.109,1.000
35.556,38.230,26.213,1.000
35.693,36.957,27.350,1.000
35.784,35.696,28.519,1.000
35.830,34.447,29.722,1.000
35.830,33.211,30.959,1.000
35.782,31.987,32.231,1.000
34.027,51.578,14.394,1.000
34.614,50.257,15.130,1.000
35.170,48.940,15.889,1.000
35.695,47.630,16.675,1.000
36.188,46.326,17.486,1.000
36.645,45.031,18.324,1.000
37.067,43.744,19.189,1.000
37.452,42.466,20.081,1.000
37.799,41.199,21.002,1.000
38.105,39.943,21.952,1.000
38.371,38.698,22.931,1.000
38.594,37.465,23.940,1.000
38.774,36.245,24.981,1.000
38.910,35.038,26.052,1.000
39.000,33.844,27.156,1.000
39.043,32.664,28.292,1.000
37.911,47.611,14.478,1.000
38.477,46.334,15.188,1.000
39.011,45.068,15.922,1.000
39.509,43.811,16.679,1.000
39.973,42.566,17.462,1.000
40.399,41.332,18.269,1.000
40.786,40.111,19.103,1.000
41.135,38.902,19.963,1.000
41.443,37.707,20.851,1.000
41.709,36.525,21.766,1.000
41.932,35.357,22.711,1.000
42.111,34.204,23.685,1.000
42.246,33.065,24.689,1.000
42.334,31.941,25.725,1.000
42.445,42.431,15.124,1.000
42.946,41.227,15.827,1.000
43.409,40.037,16.554,1.000
43.835,38.861,17.303,1.000
44.222,37.700,18.077,1.000
44.570,36.554,18.877,1.000
44.876,35.422,19.701,1.000
45.141,34.306,20.553,1.000
45.362,33.206,21.432,1.000
45.540,32.121,22.339,1.000
45.673,31.052,23.275,1.000
4.886,23.209,71.905,0.000
5.774,28.381,65.845,0.000
5.709,26.941,67.349,0.000
5.640,25.555,68.805,0.000
5.568,24.222,70.210,0.000
5.493,22.943,71.564,0.000
5.416,21.717,72.867,0.000
5.337,20.545,74.119,0.000
5.256,19.425,75.319,0.000
5.173,18.357,76.470,0.000
6.627,31.178,62.195,0.000
6.566,29.627,63.808,0.000
6.498,28.128,65.375,0.000
6.424,26.682,66.895,0.000
