# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
2.330770330305826032e+00,2.363979586278618372e-01,1.226383313120051333e-01,2.071636849271098129e+02,2.000000000000000000e+00
2.322789207288314728e+00,3.235029715011037421e-01,8.817790072730885553e-02,1.566201376420315796e+02,2.000000000000000000e+00
2.319089272631355225e+00,3.039896253839680096e-01,8.335586695643529276e-02,1.701231745323455016e+02,2.000000000000000000e+00
2.315613283459620142e+00,2.804191885645184734e-01,8.151994872448402318e-02,1.900911039340554112e+02,2.000000000000000000e+00
2.313149066665051379e+00,2.437777678943269244e-01,8.211084034023953537e-02,2.268031652801873861e+02,2.000000000000000000e+00
2.312009203573046623e+00,2.016815880909246517e-01,8.425245086155624952e-02,2.667058270185160040e+02,2.000000000000000000e+00
2.311558542555651297e+00,1.656094394600202413e-01,8.768267361296601392e-02,2.978265438103825886e+02,2.000000000000000000e+00
2.310793543902535774e+00,1.384833762886958086e-01,8.651293550800619181e-02,3.207822535945368259e+02,2.000000000000000000e+00
2.309885943040650869e+00,1.222004823050552996e-01,8.289631259650591388e-02,3.378042607724107143e+02,2.000000000000000000e+00
2.308731748772413273e+00,1.112399502241460114e-01,7.947285467424154703e-02,3.463504837311244842e+02,2.000000000000000000e+00
2.306761190917577142e+00,1.086282265863234009e-01,7.802829269428337988e-02,3.588641962573078672e+02,2.000000000000000000e+00
2.304817871416549036e+00,1.083464742139462339e-01,7.682744173606737004e-02,3.689145515912733799e+02,2.000000000000000000e+00
2.302324219687413187e+00,1.102946345065460854e-01,7.608834327028309030e-02,3.780981901118535120e+02,2.000000000000000000e+00
2.300026562967193211e+00,1.141217083055048598e-01,7.593874616069930250e-02,3.884727476643975592e+02,2.000000000000000000e+00
2.298564087520535093e+00,1.183858264626643786e-01,7.567787934695723029e-02,4.016554435216082197e+02,2.000000000000000000e+00
2.298671684029037987e+00,1.221940402669636494e-01,7.533394697069741019e-02,4.028186248358297235e+02,2.000000000000000000e+00
2.297235779975531855e+00,1.809018564267909912e-01,7.465705106063885710e-02,2.529160614357051600e+02,2.000000000000000000e+00
2.437478556652235895e+00,4.353844475225798760e-01,4.353844475225798760e-01,1.787080320090773284e+02,1.000000000000000000e+00
2.441091832060995781e+00,4.419104850815195329e-01,4.419104850815195329e-01,1.935968409953104299e+02,1.000000000000000000e+00
2.445366107971692404e+00,4.466865365204386595e-01,4.466865365204386595e-01,2.076129515955914258e+02,1.000000000000000000e+00
2.314006584745166073e+00,3.485593900237627940e-01,1.771743426593364312e-01,1.189316799260600845e+02,2.000000000000000000e+00
2.318332646525059992e+00,3.280668908903980885e-01,1.667055944816193402e-01,1.463822412190450564e+02,2.000000000000000000e+00
2.322131742095582485e+00,3.124196014433560098e-01,1.492403508833053116e-01,1.683242737142742556e+02,2.000000000000000000e+00
2.324774913981443536e+00,2.898775182147353968e-01,1.341860108324157419e-01,1.917888398909164493e+02,2.000000000000000000e+00
2.320621189847939636e+00,4.738294940696320401e-01,8.186423543030836580e-02,1.172514819456664981e+02,2.000000000000000000e+00
2.323933362458094010e+00,2.280084300025970179e-01,1.136870696129201053e-01,2.045366019979240093e+02,2.000000000000000000e+00
2.319051584337725735e+00,2.383907934530105355e-01,9.858622089276797285e-02,1.949619681175712742e+02,2.000000000000000000e+00
2.318397182020413450e+00,1.904290899118007419e-01,9.710167747940115501e-02,2.149308122062205086e+02,2.000000000000000000e+00
2.316375580666017786e+00,1.686173883249348915e-01,9.371620611970560288e-02,2.298720712115340632e+02,2.000000000000000000e+00
2.312771918126359072e+00,1.731309002458391033e-01,8.878640979614690898e-02,2.501158272268059193e+02,2.000000000000000000e+00
2.312512974724949544e+00,1.440155572665681172e-01,8.732666344698762628e-02,2.645946101052113022e+02,2.000000000000000000e+00
2.310515652294161448e+00,1.339323281320521641e-01,8.402970185646628509e-02,2.871038964102421005e+02,2.000000000000000000e+00
2.308621535854964435e+00,1.267450390165689167e-01,8.211712261540506097e-02,3.062295690243985291e+02,2.000000000000000000e+00
2.306731445119802881e+00,1.223788802482568688e-01,8.054560714126782206e-02,3.220143219672941086e+02,2.000000000000000000e+00
2.304790518791256737e+00,1.198184019548897972e-01,7.922865249258848053e-02,3.363035387844574871e+02,2.000000000000000000e+00
2.302350150246954996e+00,1.199604246317769324e-01,7.825481444936931152e-02,3.499403376416157698e+02,2.000000000000000000e+00
2.299963354694944950e+00,1.212570047103302406e-01,7.819094179354768581e-02,3.646891971947768525e+02,2.000000000000000000e+00
2.298463399559956599e+00,1.227671108437450170e-01,7.759896409552680119e-02,3.814907953586102280e+02,2.000000000000000000e+00
2.298457428115245893e+00,1.238321993772519974e-01,7.701871101412788301e-02,3.889801047753125545e+02,2.000000000000000000e+00
2.298783522313077476e+00,1.422442791381232641e-01,7.873559268322605220e-02,2.997708598000677966e+02,2.000000000000000000e+00
2.432158609991569076e+00,4.368351301662090069e-01,4.368351301662090069e-01,1.668560667849924073e+02,1.000000000000000000e+00
2.435441075208637063e+00,4.452934538238632056e-01,4.452934538238632056e-01,1.789868170500847100e+02,1.000000000000000000e+00
2.439505298510569631e+00,4.489045717127777002e-01,4.489045717127777002e-01,1.922899902110904975e+02,1.000000000000000000e+00
2.443564497436895966e+00,4.518705526757905155e-01,4.518705526757905155e-01,2.040590425943463799e+02,1.000000000000000000e+00
2.448197117301902370e+00,4.538193044336918391e-01,4.538193044336918391e-01,2.159764220103369610e+02,1.000000000000000000e+00
2.308373196317516918e+00,3.503915161638064268e-01,1.663675555704648423e-01,1.221198007848838500e+02,2.000000000000000000e+00
2.314520314906982623e+00,3.328861994873544838e-01,1.489051221272098269e-01,1.458028203146129727e+02,2.000000000000000000e+00
2.318748271367764957e+00,3.085964692756553163e-01,1.381388228469076773e-01,1.713608541269999535e+02,2.000000000000000000e+00
2.319763242572102868e+00,2.810013932769687695e-01,1.277182887514737297e-01,1.906583577381734926e+02,2.000000000000000000e+00
2.319000785916597973e+00,2.542519542502407748e-01,1.185820424961198799e-01,1.950304918850172555e+02,2.000000000000000000e+00
2.318364273019070332e+00,2.289271156377231664e-01,1.097685895700984265e-01,1.957360249118555373e+02,2.000000000000000000e+00
2.316666500671745510e+00,2.044422287417913264e-01,1.029974755990247098e-01,1.978453487595224090e+02,2.000000000000000000e+00
2.314750389686877075e+00,1.845250532446122971e-01,9.608771222631468101e-02,2.032113278245082313e+02,2.000000000000000000e+00
2.312413623925775319e+00,1.715223632771795681e-01,9.153538294754259841e-02,2.163401680884992686e+02,2.000000000000000000e+00
2.310451364469274793e+00,1.594501850234642248e-01,8.825054863576649311e-02,2.341244060010257328e+02,2.000000000000000000e+00
2.308705955145485156e+00,1.492571697373626938e-01,8.561769188230368421e-02,2.522256084751290075e+02,2.000000000000000000e+00
2.306875626288101611e+00,1.407915184603605041e-01,8.369158228280673684e-02,2.749774405144288494e+02,2.000000000000000000e+00
2.304967037609635394e+00,1.357179007653049885e-01,8.161041041148713038e-02,2.934378704841768126e+02,2.000000000000000000e+00
2.302812172274397273e+00,1.323391327714292520e-01,8.064585402983028006e-02,3.104112083329548568e+02,2.000000000000000000e+00
2.300538111116328999e+00,1.311019577077181253e-01,8.013137088815110165e-02,3.297262456271436690e+02,2.000000000000000000e+00
2.299044531296158933e+00,1.298762654819164697e-01,7.902563917892536927e-02,3.475849767834321256e+02,2.000000000000000000e+00
2.298855460323604216e+00,1.284677118351441605e-01,7.849208094183074413e-02,3.623084015363691037e+02,2.000000000000000000e+00
2.300391685799453523e+00,1.300782596440331340e-01,7.916078097717126061e-02,3.396294848301674278e+02,2.000000000000000000e+00
2.429055482139340860e+00,4.397699304659665187e-01,4.397699304659665187e-01,1.518344484815275166e+02,1.000000000000000000e+00
2.431543219300686065e+00,4.485229135778373566e-01,4.485229135778373566e-01,1.657118608231092196e+02,1.000000000000000000e+00
2.435132783964420788e+00,4.524012585750216697e-01,4.524012585750216697e-01,1.771978704196537819e+02,1.000000000000000000e+00
2.439053738795399440e+00,4.583835815261901869e-01,4.583835815261901869e-01,1.882383732130155920e+02,1.000000000000000000e+00
2.441678137612560473e+00,4.598158558568773424e-01,4.598158558568773424e-01,1.987042579617570084e+02,1.000000000000000000e+00
2.446351920875997621e+00,4.643229970423318753e-01,4.643229970423318753e-01,2.103279831131100650e+02,1.000000000000000000e+00
2.452089905483208820e+00,4.614358558261496546e-01,4.614358558261496546e-01,2.240492962551248013e+02,1.000000000000000000e+00
2.305919605987087451e+00,3.528175731950511929e-01,1.531129933805650822e-01,1.233647957192663966e+02,2.000000000000000000e+00
2.311102121830018952e+00,3.329643014677348689e-01,1.419072206380814494e-01,1.468629004265154663e+02,2.000000000000000000e+00
2.313838507700210823e+00,3.097857463291256996e-01,1.309650361527545659e-01,1.690224484599280572e+02,2.000000000000000000e+00
2.314251658401586642e+00,2.841108718241073250e-01,1.223718822314646126e-01,1.797466132525210583e+02,2.000000000000000000e+00
2.314003021231657353e+00,2.596713769971577546e-01,1.128400461582798608e-01,1.865513285532874477e+02,2.000000000000000000e+00
2.313358544018148777e+00,2.349256166129598256e-01,1.060787834592355344e-01,1.882992628775776609e+02,2.000000000000000000e+00
2.312472505045955362e+00,2.096761849807101952e-01,1.001770127622365752e-01,1.917051938151134038e+02,2.000000000000000000e+00
2.310524804229911133e+00,1.912974956846492935e-01,9.417104866107788019e-02,1.987356156187654506e+02,2.000000000000000000e+00
2.308442716937717964e+00,1.791444993502060712e-01,9.050982803827420375e-02,2.116825665444759466e+02,2.000000000000000000e+00
2.306803299741009727e+00,1.672761763839905602e-01,8.787467687463740296e-02,2.273676243562308912e+02,2.000000000000000000e+00
2.304980942788594334e+00,1.578145431953831002e-01,8.489936920662895237e-02,2.485867765402545331e+02,2.000000000000000000e+00
2.303048211346803598e+00,1.505957988705204920e-01,8.342171834290243448e-02,2.706983591846930608e+02,2.000000000000000000e+00
2.301122692980662521e+00,1.455007845118711229e-01,8.223569866671924522e-02,2.893615706522634810e+02,2.000000000000000000e+00
2.299823231573734361e+00,1.417796827837327078e-01,8.177239473471605014e-02,3.084412744942066524e+02,2.000000000000000000e+00
2.299481467146641922e+00,1.385432597868954396e-01,8.064647701014171499e-02,3.278335422669348418e+02,2.000000000000000000e+00
2.300916127094225772e+00,1.413499201629241919e-01,8.227024097288539173e-02,3.070627538304450468e+02,2.000000000000000000e+00
nan,nan,nan,nan,0.000000000000000000e+00
2.427478615088408009e+00,4.388003407714199389e-01,4.388003407714199389e-01,1.392073313657857057e+02,1.000000000000000000e+00
