# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
108,-12.002,-24,30,3703439,4455237,0,14181485,107394,0,0,0,35.228216,980550,891480,238521,530670,73943,3406,1791,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E+01,1.02E+03,7.24E+02,1.42E+00,4.30E+01,1.40E-05,41.64141526,26.11533701,32.24324773,,,,8.11E+03,1.10E+03,1.79E+04,2.46E+03,2.98E+00,6.15E-01,2.07E+02
109,-8.999,-24,30,3695436,4446231,0,14066563,108532,0,0,0,35.037993,961620,875790,223543,523813,73602,3516,1808,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40E+01,1.02E+03,7.18E+02,1.43E+00,4.40E+01,1.42E-05,41.72785793,24.55868066,33.71346142,,,,7.61E+03,1.03E+03,1.78E+04,2.44E+03,2.96E+00,6.64E-01,2.00E+02
110,-6.001,-24,30,3693138,4424887,0,14196605,108105,0,0,0,35.031124,937980,856290,207594,517382,73334,3811,1756,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E+01,1.01E+03,7.12E+02,1.42E+00,4.50E+01,1.43E-05,41.73031174,23.07684758,35.19284068,,,,7.01E+03,9.53E+02,1.77E+04,2.42E+03,2.93E+00,7.23E-01,1.90E+02
111,-2.99801,-24,30,3684686,4410787,0,13956103,108109,0,0,0,35.036392,915450,837480,193628,510740,72779,3841,1669,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60E+01,1.01E+03,7.08E+02,1.42E+00,4.60E+01,1.41E-05,41.65119721,21.66487233,36.68393046,,,,6.49E+03,8.83E+02,1.76E+04,2.40E+03,2.90E+00,7.71E-01,1.85E+02
112,0,-24,30,3684333,4429459,0,14101917,107204,0,0,0,34.994091,901200,825330,182464,506171,72667,3921,1707,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70E+01,1.00E+03,7.07E+02,1.42E+00,4.70E+01,1.42E-05,41.49404631,20.32679103,38.17916266,,,,6.11E+03,8.31E+02,1.75E+04,2.39E+03,2.87E+00,8.03E-01,1.83E+02
113,2.99801,-24,30,3711329,4461510,0,14200328,107074,0,0,0,34.856747,891840,817140,172140,502475,71744,4095,1651,2966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E+01,1.00E+03,7.09E+02,1.41E+00,4.80E+01,1.42E-05,41.26207446,19.05927991,39.67864563,,,,5.69E+03,7.74E+02,1.75E+04,2.39E+03,2.84E+00,8.14E-01,1.85E+02
114,6.001,-24,30,3717070,4470041,0,14126052,108031,0,0,0,35.301999,863490,793020,161187,495313,71604,4298,1609,3092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90E+01,1.01E+03,7.09E+02,1.43E+00,4.90E+01,1.42E-05,40.95853531,17.85874766,41.18271703,,,,5.30E+03,7.21E+02,1.72E+04,2.36E+03,2.81E+00,8.05E-01,1.91E+02
115,8.999,-24,30,3703140,4459224,0,13931010,108122,0,0,0,35.111921,847140,779280,150770,487038,70537,4481,1593,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+01,9.98E+02,7.05E+02,1.42E+00,5.00E+01,1.42E-05,40.5881289,16.72747214,42.68439896,,,,4.95E+03,6.74E+02,1.70E+04,2.34E+03,2.78E+00,7.87E-01,1.99E+02
116,12.002,-24,30,3698425,4446627,0,13961066,108160,0,0,0,34.991608,831960,766410,141407,479077,69411,4478,1572,3229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E+01,9.89E+02,7.01E+02,1.41E+00,5.10E+01,1.42E-05,40.15377656,15.65952776,44.18669569,,,,4.60E+03,6.26E+02,1.69E+04,2.31E+03,2.76E+00,7.60E-01,2.08E+02
117,15,-24,30,3698704,4428381,0,14132688,107480,0,0,0,35.111737,810030,747480,131847,470173,69079,4788,1507,3186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20E+01,9.82E+02,6.97E+02,1.41E+00,5.20E+01,1.42E-05,39.66104323,14.65606552,45.68289125,,,,4.25E+03,5.78E+02,1.65E+04,2.27E+03,2.73E+00,7.38E-01,2.21E+02
